"","X","Marital.status","Application.mode","Application.order","Course","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Nacionality","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"52",74,1,17,4,9254,1,1,118,1,38,37,5,7,111.7,1,0,0,1,1,0,18,0,0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,"Dropout"
"53",75,1,1,2,9773,1,1,142,1,38,38,9,9,132.9,1,0,0,1,1,0,18,0,0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,"Not Dropout"
"54",76,1,17,3,9147,1,1,120,1,19,19,4,7,115.5,1,0,1,1,1,0,18,0,0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,"Dropout"
"55",77,1,18,4,9254,1,1,106,1,19,37,7,7,106,1,0,0,1,1,1,21,0,0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,"Dropout"
"56",78,1,17,4,9773,1,1,121,1,1,19,9,8,120.3,1,0,1,1,1,1,19,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Not Dropout"
"57",79,1,17,4,9500,1,1,150,1,38,37,9,9,130.8,0,0,0,1,1,1,22,0,0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,"Not Dropout"
"58",80,2,39,1,8014,0,1,120,1,37,37,9,6,117,0,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,"Not Dropout"
"59",81,1,1,6,9853,1,1,114,1,19,19,9,9,110.2,1,0,0,1,1,0,20,0,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Dropout"
"60",82,1,39,1,9991,0,2,140,1,3,3,2,2,155.7,1,0,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,"Dropout"
"61",83,1,39,1,9003,1,4,160,1,3,3,4,2,180.4,0,0,1,1,1,0,24,0,6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,"Dropout"
"62",84,1,17,1,9254,1,1,120,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,"Not Dropout"
"63",86,1,42,1,9500,1,1,160,1,37,38,9,7,161,1,0,0,1,0,1,22,0,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,"Not Dropout"
"64",87,1,39,1,9670,1,1,120,1,1,19,4,5,100,0,0,0,1,0,1,25,0,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,"Not Dropout"
"65",88,1,17,1,9070,1,1,124,1,19,38,4,0,117.6,1,0,0,1,1,0,20,0,0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,"Not Dropout"
"66",89,1,1,6,9147,1,1,143,1,38,37,9,9,128.7,1,0,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,"Not Dropout"
"67",90,1,43,2,9119,1,1,115,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,"Not Dropout"
"68",91,1,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,0,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"69",92,1,17,2,9773,1,1,133.1,41,19,1,9,9,105,1,0,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,"Not Dropout"
"70",95,2,39,1,8014,0,1,133.1,1,37,19,9,9,114,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.3333333333333,0,12.7,3.7,-1.7,"Not Dropout"
"71",96,1,15,1,9119,1,1,130,26,38,3,9,2,137,1,0,0,1,1,0,19,1,0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,"Not Dropout"
"72",97,1,1,5,9773,1,1,135,1,37,1,5,5,124.9,1,0,0,1,0,0,18,0,0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Not Dropout"
"73",99,1,1,1,9085,1,1,135,1,1,2,9,1,134.3,1,0,0,1,0,0,19,0,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,"Not Dropout"
"74",100,1,1,4,9500,1,1,115,1,3,3,2,2,111.5,1,0,1,0,0,0,19,0,0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"75",101,1,53,1,9085,1,42,130,1,38,38,9,9,128.8,0,0,0,1,0,0,21,0,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,"Dropout"
"76",103,2,39,1,8014,0,1,130,1,37,37,6,5,113.5,1,0,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"77",106,1,51,1,9070,1,1,130,1,3,1,2,8,122.2,0,0,1,1,0,0,20,0,4,10,12,10,13,0,5,11,11,11,12.2727272727273,0,11.1,0.6,2.02,"Not Dropout"
"78",107,1,1,2,9238,1,1,122,1,37,38,4,7,118.2,1,0,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"79",109,1,1,5,9500,1,1,111,1,3,4,4,3,108.2,1,0,0,1,0,0,20,0,2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,"Dropout"
"80",111,1,1,1,9238,1,1,142,1,37,37,6,7,136.1,1,0,0,1,0,0,18,0,0,6,8,6,13.8571428571429,0,0,6,6,6,15,0,13.9,-0.3,0.79,"Not Dropout"
"81",112,1,17,2,9147,1,1,123,1,1,38,4,7,115.3,1,0,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,"Not Dropout"
"82",113,1,1,1,9085,1,1,131,1,19,19,9,9,139.8,1,0,0,1,0,0,19,0,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,"Not Dropout"
"83",114,1,1,3,9773,1,1,158,1,1,38,4,7,157,1,0,0,1,0,0,18,0,0,6,6,6,12.6666666666667,0,0,6,7,6,12.5714285714286,0,10.8,1.4,1.74,"Not Dropout"
"84",117,1,17,1,9238,1,1,154,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,"Not Dropout"
"85",118,1,17,1,9147,1,1,120,1,19,19,3,3,113.4,0,0,0,1,0,0,20,0,0,5,11,3,10.3333333333333,0,0,5,10,3,10.6666666666667,0,12.4,0.5,1.79,"Not Dropout"
"86",119,1,1,2,9085,1,1,140,1,37,38,9,7,137,0,0,0,1,0,0,18,0,0,5,12,5,13.1428571428571,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,"Not Dropout"
"87",121,1,17,1,9254,1,1,133.1,1,1,1,4,5,131,1,0,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,"Dropout"
"88",123,1,1,1,171,1,1,137,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"89",125,1,1,1,9085,1,1,130,1,19,38,4,7,121.3,1,0,0,1,0,0,19,0,0,6,15,6,14.1666666666667,0,0,6,13,6,12.2,0,15.5,2.8,-4.06,"Not Dropout"
"90",129,1,17,3,9238,1,1,131,1,1,39,5,3,122.6,1,0,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13.6666666666667,0,12.4,0.5,1.79,"Not Dropout"
"91",130,1,17,6,9500,1,1,132,1,1,37,8,9,128,1,0,0,1,0,0,19,0,0,7,7,7,13.4671428571429,0,0,8,9,8,15.0111111111111,0,12.4,0.5,1.79,"Not Dropout"
"92",131,1,1,3,9500,1,1,138,1,19,19,5,8,124.9,1,0,0,1,0,1,18,0,0,7,9,7,13.2375,0,0,8,9,7,13.7428571428571,0,13.9,-0.3,0.79,"Dropout"
"93",132,1,17,2,9070,1,1,130,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,6,6,13,0,7.6,2.6,0.32,"Not Dropout"
"94",133,1,1,4,9147,1,1,126,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,"Not Dropout"
"95",134,1,17,6,9500,1,1,148,1,1,19,3,3,131.7,1,0,0,1,0,0,19,0,0,7,8,5,14,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"96",135,1,43,1,9238,1,1,130,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,9,15,9,11.6666666666667,0,2,7,8,7,11.7142857142857,0,7.6,2.6,0.32,"Not Dropout"
"97",137,1,17,1,9670,1,1,120,1,19,19,5,5,113,1,0,0,1,0,0,20,0,0,5,7,4,12.2,0,0,5,5,4,11.5,0,7.6,2.6,0.32,"Not Dropout"
"98",138,1,1,1,9773,1,1,153,1,1,1,141,175,157.9,0,0,1,1,0,1,18,0,0,6,6,6,14.8333333333333,0,0,6,6,6,14.8333333333333,0,8.9,1.4,3.51,"Not Dropout"
"99",139,1,1,2,9500,1,1,117,1,19,1,4,7,112.1,0,0,0,1,0,1,20,0,0,7,9,5,13.188,0,0,8,9,7,12.8928571428571,0,11.1,0.6,2.02,"Not Dropout"
"100",140,1,18,1,9500,1,1,178,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,13.9,-0.3,0.79,"Not Dropout"
"101",142,1,1,6,9773,1,1,116,1,19,1,4,4,110.1,1,0,0,1,0,1,19,0,0,6,8,6,12.6666666666667,0,0,6,10,5,12,0,12.4,0.5,1.79,"Not Dropout"
"102",143,1,51,1,9147,1,1,99,1,3,1,3,3,99.7,1,0,1,0,0,0,22,0,0,5,8,0,0,0,0,5,7,0,0,0,8.9,1.4,3.51,"Not Dropout"
"103",144,1,1,3,9238,1,1,135,1,1,12,9,10,121,1,0,0,1,0,1,19,0,0,6,7,6,11.3333333333333,0,0,6,6,6,11.5,0,12.4,0.5,1.79,"Not Dropout"
"104",146,1,17,5,9853,1,1,132,1,37,38,5,6,119.1,1,0,0,1,0,1,19,0,0,6,10,5,12,0,0,6,9,5,10.8,0,9.4,-0.8,-3.12,"Not Dropout"
"105",150,1,1,1,9500,1,1,136,1,1,19,9,9,131.5,0,0,0,1,0,1,20,0,0,7,8,6,13.8633333333333,0,0,8,9,7,14.1785714285714,0,11.1,0.6,2.02,"Not Dropout"
"106",152,1,1,1,9085,1,1,129,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,0,5,6,5,12.4,0,0,5,6,5,13.4,0,7.6,2.6,0.32,"Not Dropout"
"107",153,1,17,1,9853,1,1,138,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,0,6,11,3,12.3333333333333,0,0,6,10,5,10.8333333333333,0,9.4,-0.8,-3.12,"Not Dropout"
"108",154,1,1,1,9853,1,1,137,1,37,37,9,9,132.8,1,0,0,1,0,0,18,0,0,6,7,6,13.3333333333333,0,0,6,8,5,11.8,0,7.6,2.6,0.32,"Not Dropout"
"109",155,1,43,1,9853,1,1,115,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,0,6,10,3,12.6666666666667,0,0,6,12,3,10,0,9.4,-0.8,-3.12,"Dropout"
"110",156,1,1,1,9853,1,1,129,1,38,37,6,6,138.1,0,0,0,1,0,0,19,0,0,6,8,6,12,0,0,6,10,4,11.5,0,7.6,2.6,0.32,"Dropout"
"111",157,1,1,1,9147,1,1,131,1,38,38,9,9,126.5,0,0,0,1,0,1,18,0,0,5,5,5,10.6,0,0,5,5,5,11.8,0,12.4,0.5,1.79,"Not Dropout"
"112",158,1,17,2,9238,1,1,133,1,1,37,7,9,127.4,1,0,0,1,0,1,18,0,0,6,8,6,12.25,0,0,6,7,6,11.8571428571429,0,12.7,3.7,-1.7,"Not Dropout"
"113",159,1,1,3,9238,1,1,125,1,19,1,9,10,123.6,1,0,0,1,0,0,20,0,0,6,10,4,11,0,0,6,9,6,11.8333333333333,0,9.4,-0.8,-3.12,"Not Dropout"
"114",160,1,39,1,8014,0,1,120,1,1,19,6,8,122,0,0,0,1,0,1,24,0,0,6,11,5,11,0,0,6,9,5,12.6,0,11.1,0.6,2.02,"Not Dropout"
"115",162,1,1,1,9500,1,1,127,1,19,37,9,7,123.9,1,0,0,1,0,1,18,0,0,7,9,7,12.8555555555556,0,0,8,12,7,12.7611111111111,0,15.5,2.8,-4.06,"Not Dropout"
"116",163,1,1,2,9500,1,1,134,1,19,19,9,9,125.8,1,0,0,1,0,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,"Not Dropout"
"117",165,1,17,2,9670,1,1,124,1,1,19,5,4,124.4,0,0,0,1,0,0,19,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,7.6,2.6,0.32,"Not Dropout"
"118",166,1,17,1,9773,1,1,133.1,1,19,37,7,7,126,0,0,0,1,0,1,19,0,0,6,6,6,12.5,0,0,6,7,6,13,0,15.5,2.8,-4.06,"Not Dropout"
"119",167,3,39,1,9003,1,1,170,1,1,37,6,6,170,0,0,1,1,0,0,47,0,0,1,1,0,0,0,0,6,0,0,0,0,8.9,1.4,3.51,"Not Dropout"
"120",168,1,17,3,9238,1,1,125,1,19,19,7,8,121.5,0,0,0,1,0,0,19,0,0,6,10,5,11.6666666666667,0,0,6,12,4,11,0,13.9,-0.3,0.79,"Not Dropout"
"121",169,1,39,1,9500,1,3,130,1,2,2,1,1,130,0,0,0,1,0,0,29,0,1,8,8,7,14.2571428571429,0,1,8,8,7,14.2571428571429,0,12.7,3.7,-1.7,"Not Dropout"
"122",170,1,43,1,9238,1,1,125,1,19,19,4,8,117,1,0,0,1,0,0,21,0,0,6,13,3,12,0,0,6,12,2,11.3333333333333,0,16.2,0.3,-0.92,"Dropout"
"123",171,1,39,1,9085,1,1,130,1,37,19,9,7,130,1,0,0,1,0,0,28,0,0,5,13,4,11.25,1,0,5,11,4,10.5,0,12.7,3.7,-1.7,"Not Dropout"
"124",172,1,17,2,9556,1,1,133.1,1,37,37,3,10,108,0,0,0,1,0,0,20,0,0,7,8,7,12.4571428571429,0,0,8,8,8,13.5625,0,15.5,2.8,-4.06,"Not Dropout"
"125",173,1,17,1,9500,1,1,131,1,2,38,4,5,132.3,1,0,0,1,0,0,19,0,0,7,7,6,11.6833333333333,0,0,7,7,6,11.6833333333333,0,7.6,2.6,0.32,"Not Dropout"
"126",174,1,42,1,8014,0,1,150,1,19,2,4,6,148,0,0,0,1,0,0,26,0,0,6,10,3,11.6666666666667,0,0,6,8,5,12,0,9.4,-0.8,-3.12,"Not Dropout"
"127",175,1,17,2,9254,1,1,125,1,37,37,9,8,122.6,1,0,1,0,0,0,20,0,0,6,8,4,11.75,0,0,6,6,6,13.1666666666667,0,11.1,0.6,2.02,"Dropout"
"128",177,1,39,1,9853,1,1,130,1,37,19,9,5,102.5,0,0,0,1,0,0,27,0,0,6,9,5,13.2,0,0,6,10,5,12,0,7.6,2.6,0.32,"Not Dropout"
"129",178,1,1,2,9500,1,1,123,1,34,34,90,90,113.3,1,0,0,1,0,0,20,0,0,7,8,4,11.95,0,0,7,8,4,11.95,0,7.6,2.6,0.32,"Dropout"
"130",179,1,1,5,9853,1,1,141,1,37,19,9,5,133,1,0,0,1,0,0,18,0,0,6,8,5,12.4,0,0,6,12,5,10.4,0,9.4,-0.8,-3.12,"Dropout"
"131",180,1,7,1,9500,1,3,140,1,1,1,9,5,140,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.5833333333333,0,16.2,0.3,-0.92,"Dropout"
